identifier,Number of trading,Number of trading symbol,Number of buy,Number of sell,Trading frequency
1907,3,2,2,1,348.145
1908,11,4,6,5,488.9308333333333
1909,204,21,112,92,88.8084791971124
1910,10,6,6,4,3.1024652777777777
1911,1531,15,1098,433,28.178112557459613
1912,4,2,3,1,0.08368055555555555
1913,230,20,117,113,19.91391703852677
1914,55,5,47,8,178.69021615791615
1915,14,5,7,7,108.46243055555556
1916,4,2,2,2,335.42409722222226
1917,24,8,12,12,202.5899016203704
1918,16,10,15,1,1730.2441898148147
1919,72,8,36,36,65.8607254050926
1920,31,13,17,14,203.4396990740741
1921,20,5,10,10,216.41457175925927
1922,41,15,26,15,403.99318132716047
1923,17,7,9,8,279.761455026455
1924,37,7,22,15,22.958480004122862
1925,8,3,6,2,1267.9865740740743
1926,19,8,11,8,6.841064814814816
1927,42,6,23,19,10.568007716049383
1928,40,7,22,18,361.6382837301588
1929,21,10,11,10,198.5678935185185
1931,46,6,23,23,87.04885931069958
1933,14,5,12,2,362.923113425926
1934,44,7,26,18,167.576000518726
1935,161,34,83,78,40.20160169623404
1936,457,23,238,219,77.50303583900799
1937,15,6,8,7,78.74826851851851
1938,74,16,42,32,126.0638291005291
1939,136,20,84,52,76.15038215732356
1941,170,9,92,78,9.268173847221188
1942,10,4,5,5,54.505781250000005
1943,48,33,39,9,509.65
1945,7,1,6,1,575.8572222222222
1947,9,5,6,3,1772.2185030864196
1948,5,3,4,1,857.9915277777778
1949,8,4,5,3,492.7236574074074
1951,288,13,149,139,13.237011930199431
1952,566,106,313,253,102.75867946902056
1953,3,2,2,1,48.524861111111115
1954,271,34,139,132,165.44943880506744
1955,14,6,7,7,89.02895833333334
1956,83,14,43,40,184.1285867346939
1957,23,7,12,11,285.1833290816327
1958,45,9,23,22,134.5775217013889
1959,25,9,12,13,156.77236882716048
1960,23,9,12,11,522.1586371527777
1962,4,1,2,2,575.6617361111112
1963,33,11,18,15,133.47245959595963
1964,6,3,3,3,776.9278240740741
1966,4,2,2,2,829.1899305555555
1967,8,4,5,3,1355.6667592592594
1968,18,7,10,8,99.09961970899471
1969,11,9,10,1,1620.3714583333333
1970,9,3,5,4,456.9095216049382
1971,4,2,2,2,107.890625
1972,12,8,8,4,118.1132638888889
1973,11,4,10,1,693.2163456790122
1974,25,2,13,12,140.86117063492065
1975,7,3,3,4,96.13354938271605
1976,16,6,10,6,133.63896296296295
1977,33,15,17,16,37.05186507936508
1978,5,3,3,2,1226.727361111111
1979,9,5,5,4,357.90954861111106
1980,8,4,4,4,15.369305555555556
1981,64,14,35,29,280.6368484268707
1982,23,12,12,11,110.02175505050505
1983,17,6,9,8,231.62241666666668
1986,48,13,24,24,149.99322204415955
1987,6,3,3,3,124.24398148148147
1988,38,13,23,15,206.1586296296297
1989,11,3,6,5,244.62386904761902
1990,8,5,6,2,331.80155092592594
1991,28,4,15,13,214.8570702160494
1992,12,4,7,5,204.85035185185183
1994,15,5,9,6,309.65225694444445
1995,187,18,94,93,90.82887402065526
1996,10,2,6,4,389.68026041666667
1997,1206,35,798,408,90.68691584019228
1998,23,8,13,10,52.15187996031746
2000,11,3,6,5,123.61063492063492
2002,1444,39,764,680,82.43633657682518
2003,6,3,3,3,189.94050925925924
2004,9,5,6,3,471.3671180555555
2005,14,7,8,6,19.91482142857143
2006,161,15,80,81,112.72068677818352
2007,3,2,2,1,251.9998611111111
2008,79,12,40,39,272.9084909611993
2009,471,28,239,232,24.440934508493346
2010,10,3,6,4,27.851438492063494
2011,14,5,7,7,37.16894444444445
2012,53,10,39,14,77.11811885090218
2013,36,9,19,17,20.6177090815563
2014,39,9,23,16,147.38730709876546
2015,44,9,23,21,78.41997755331087
2016,18,8,16,2,235.62019179894187
2017,26,10,15,11,420.69030489417986
2018,16,5,8,8,67.05451388888889
2019,30,11,17,13,302.9583121141975
2020,3,2,2,1,275.9998611111111
2021,45,18,24,21,149.0911754115226
2022,59,15,42,17,396.4156111111111
2023,127,29,66,61,42.88083722176611
2024,52,6,44,8,192.05227573005698
2025,40,6,21,19,139.83961627243488
2026,8,5,6,2,1244.1929629629628
2027,2,1,1,1,1523.4998611111112
2028,183,26,97,86,153.03733092572605
2030,9,2,5,4,85.17169642857144
2031,236,22,141,95,62.803947972574186
2032,4,2,3,1,686.6441666666666
2034,58,10,34,24,131.66264459876544
2035,54,12,33,21,153.54397000385802
2036,10,4,6,4,0.17310185185185187
2038,10,4,6,4,480.5450000000001
2039,90,13,47,43,134.2514584350834
2041,18,7,10,8,369.63994444444444
2043,156,47,80,76,80.48072215655371
2044,41,10,24,17,141.93237927350424
2046,20,9,10,10,26.214915123456795
2048,3,1,2,1,38.95138888888889
2049,12,5,8,4,280.0348055555556
2050,17,8,9,8,96.19402777777779
2051,45,8,24,21,160.06819282407406
2052,29,7,18,11,65.15243570483749
2053,12,5,6,6,298.945
2054,17,5,12,5,94.24358333333335
2055,182,48,109,73,161.70734781700102
2056,54,10,32,22,197.9478860585402
2059,10,3,8,2,1096.3438888888888
2060,120,29,60,60,80.03468430715198
2061,21,8,13,8,149.48535300925926
2062,16,11,13,3,212.2033101851852
2063,26,6,19,7,630.5404371693122
2065,132,19,67,65,47.689951188635696
2066,38,13,20,18,27.963746141975307
2067,4,2,2,2,311.57659722222223
2068,11,2,7,4,105.32012345679011
2070,5,2,4,1,1020.636875
2071,8,4,4,4,75.57524305555556
2072,10,3,6,4,289.3918827160494
2073,36,9,19,17,143.51183127572014
2075,5,3,3,2,252.0
2076,11,3,6,5,441.4563580246913
2077,827,83,413,414,73.73158077555416
2078,27,12,15,12,545.1190946502057
2079,20,6,14,6,181.29750771604938
2080,69,19,33,36,67.09606481481481
2081,319,35,185,134,94.48370605647371
2082,2,1,1,1,347.94055555555553
2083,15,7,8,7,427.802337962963
2084,26,11,14,12,211.84818686868692
2085,3,2,2,1,612.175
2086,6,2,3,3,101.78604166666666
2088,9,4,5,4,126.01791666666666
2089,155,21,79,76,97.86938852145795
2090,23,9,12,11,164.7702901234568
2091,3,1,2,1,40.33851851851852
2092,8,5,6,2,4.121458333333334
2093,187,10,95,92,15.425387960087416
2094,15,5,9,6,149.76515432098765
2095,207,19,145,62,63.231322360961926
2096,560,56,277,283,61.24457801359024
2097,17,3,10,7,443.60515361952866
2098,12,6,8,4,0.12814814814814815
2099,4,1,2,2,210.00006944444445
2100,12,4,8,4,489.96830555555556
2101,13,6,7,6,416.28222222222223
2102,3,1,2,1,41.95444444444444
2103,9,4,7,2,353.8094791666667
2104,5,3,3,2,731.7500694444444
2106,8,5,6,2,84.97798611111111
2107,342,47,186,156,62.91361330234852
2108,7,3,4,3,128.9229012345679
2110,28,11,15,13,51.253023148148145
2111,96,13,50,46,110.51628376068376
2112,32,10,16,16,47.581997685185186
2113,13,4,8,5,107.31839583333334
2114,10,1,4,6,225.6887777777778
2115,437,44,238,199,98.67930520459996
2116,168,22,90,78,115.8223167178161
2117,9,3,5,4,113.05380401234568
2120,16,9,9,7,50.18007936507937
2121,2,1,1,1,12.0
2122,44,11,22,22,4.942262205387205
2125,4,2,3,1,0.7156944444444444
2126,16,6,8,8,230.27477623456787
2127,53,20,27,26,141.36758773148148
2128,172,17,89,83,70.69129820206642
2129,95,10,58,37,36.78491718023692
2130,77,27,71,6,259.1568446869489
2131,29,6,25,4,367.7627835097001
2132,14,3,11,3,349.0435185185185
2133,281,35,157,124,41.88230978747574
2135,33,13,21,12,239.77003347578346
2137,56,6,51,5,169.94123877068557
2138,20,7,11,9,151.66160383597887
2139,285,65,142,143,69.39470289556124
2140,40,3,19,21,143.81815861992945
2141,15,3,11,4,369.7716087962963
2142,26,6,18,8,402.401371031746
2143,13,7,8,5,180.1872314814815
2144,43,6,27,16,377.2571173747276
2145,9,4,5,4,414.340787037037
2146,108,10,64,44,90.76904210557962
2147,3,1,2,1,191.91185185185188
2148,60,10,36,24,257.6912330013094
2149,16,4,8,8,248.2875165343915
2150,8,5,6,2,285.5588888888889
2152,45,14,25,20,62.34238381410257
2153,37,27,31,6,409.09195312500003
2154,14,6,8,6,349.12109567901234
2155,10,4,6,4,71.02961805555556
2156,10,4,6,4,297.76060185185185
2157,7,2,4,3,609.7695138888889
2158,10,3,5,5,561.5460648148147
2159,173,29,97,76,105.25608998943574
2160,7,3,4,3,1317.0633333333335
2161,4,2,2,2,16.86826388888889
2162,5,4,4,1,181.11388888888888
2163,27,5,14,13,115.23882407407409
2164,88,23,44,44,10.122008856682772
2165,4,3,3,1,816.01875
2166,585,45,337,248,86.72628791270434
2167,83,25,43,40,82.08052706349207
2168,61,14,36,25,113.98424340199043
2170,37,10,19,18,222.48832428451178
2171,134,15,104,30,96.15961953463203
2174,27,5,15,12,99.30733741830065
2176,4,2,2,2,479.4614583333333
2177,11,5,6,5,101.43792592592592
2179,21,9,11,10,211.7325128600823
2181,15,5,9,6,84.26188703703704
2182,29,9,15,14,202.89964043209875
2183,36,11,19,17,458.1816923400674
2184,115,32,60,55,33.29942391079695
2185,11,3,7,4,616.5887808641975
2186,34,7,32,2,213.22056316137565
2187,7,3,5,2,709.5517592592593
2188,18,9,10,8,176.59108217592592
2190,755,55,389,366,46.53059485083467
2191,113,27,57,56,28.447297668038416
2192,23,11,12,11,62.29633333333334
2193,7,3,4,3,222.14706790123455
2194,11,4,6,5,481.8158564814815
2195,23,2,12,11,45.01501157407408
2196,58,12,43,15,239.26677188552188
2197,11,3,5,6,0.13169973544973546
2198,1289,49,839,450,52.75421265561221
2199,5,1,3,2,244.80027777777778
2200,10,5,5,5,458.7641111111111
2201,32,8,17,15,155.42049107142856
2203,10,8,9,1,192.3636111111111
2204,4,2,2,2,582.0341666666667
2205,48,7,25,23,119.64158575837743
2206,20,6,14,6,310.1954320987654
2207,57,14,31,26,254.6713971131382
2208,11,5,6,5,308.4348784722222
2209,132,25,73,59,45.70030626435544
2210,21,6,13,8,192.3398353174603
2211,683,55,422,261,51.45705024489994
2212,7,2,5,2,304.38072222222223
2214,41,11,24,17,14.217339365881033
2215,17,9,14,3,952.4809074074074
2216,7,4,6,1,0.5196990740740741
2217,2,1,1,1,432.0001388888889
2218,15,6,8,7,39.63609722222222
2219,72,18,41,31,208.0377609540344
2221,12,5,6,6,104.27479629629629
2223,20,7,11,9,7.828248456790123
2224,181,12,90,91,46.623959393249635
2225,24,7,23,1,32.71527777777778
2226,2,1,1,1,12.000277777777777
2227,24,10,12,12,64.83804166666667
2228,46,9,32,14,5.361394851290686
2229,6,4,4,2,0.06340277777777778
2230,56,6,44,12,221.03684027777777
2231,100,21,58,42,87.32192338944125
2232,32,10,16,16,122.26696527777779
2233,7,4,6,1,3.231527777777778
2234,8,4,4,4,621.0039236111112
2235,18,5,17,1,581.1608842592593
2236,3,2,2,1,575.9997222222222
2237,38,9,24,14,143.12988940329217
2239,13,5,7,6,152.6876898148148
2241,2,1,1,1,528.8175
2242,146,14,85,61,208.21971905219533
2243,5,1,3,2,87.2148888888889
2244,14,5,7,7,273.02695833333337
2245,73,18,38,35,220.97544481046216
2247,13,4,7,6,129.1278869047619
2248,3,1,2,1,8.89425925925926
2249,20,9,11,9,279.8735905349794
2251,22,7,11,11,384.74999999999994
2252,105,19,59,46,73.63101767900143
2253,3,2,2,1,0.5769444444444445
2254,4,2,2,2,36.096666666666664
2255,23,5,17,6,419.8269814814814
2256,3,1,2,1,80.0
2257,14,6,7,7,192.14024305555554
2259,3,2,2,1,453.455
2261,2,1,1,1,12.000555555555556
2262,8,4,4,4,322.0040972222222
2264,19,4,10,9,154.06372632575759
2265,23,10,12,11,184.85215046296295
2266,15,5,8,7,167.59175396825395
2268,98,23,49,49,69.74115562097423
2269,4,2,3,1,248.1783333333333
2270,482,55,298,184,67.98440030971443
2271,4,2,2,2,112.79520833333333
2272,4,1,1,3,83.68986111111111
2273,52,10,29,23,9.127641349902536
2274,48,10,36,12,219.92500092592596
2275,108,25,61,47,68.69164949845678
2276,391,62,206,185,62.846200138466735
2277,55,22,32,23,373.216362745098
2278,13,6,7,6,132.38854938271606
2279,9,6,6,3,215.90342592592594
2280,6,3,3,3,243.67972222222224
2281,24,9,14,10,423.23040637860083
2282,30,5,18,12,119.21147925569801
2283,5,3,4,1,1146.1433333333334
2284,77,15,39,38,49.109162962962955
2285,13,3,9,4,92.325625
2286,9,3,5,4,5.298953703703703
2287,33,16,17,16,115.98905555555555
2288,84,12,49,35,55.53535839546256
2289,23,7,12,11,108.24758201058202
2290,43,8,26,17,212.30729127209594
2291,43,13,30,13,180.47556818181818
2292,8,3,4,4,6.441342592592593
2293,12,7,8,4,321.5793611111111
2294,10,4,6,4,540.5261921296296
2295,9,5,5,4,231.02281250000001
2297,17,6,9,8,144.98012037037037
2298,3,2,2,1,2.108888888888889
2299,29,3,15,14,83.2644799382716
2300,130,35,67,63,38.18815094396344
2301,24,8,23,1,604.9406076388889
2303,72,26,38,34,59.69773842592593
2304,26,7,15,11,181.31922760770973
2305,20,11,12,8,205.9449826388889
2306,39,7,32,7,236.99254894179893
2307,13,5,7,6,140.1438425925926
2308,46,15,25,21,52.7533762345679
2309,123,7,61,62,23.729769160040497
2310,24,6,15,9,139.0391141975309
2312,11,4,6,5,17.55376736111111
2313,6,3,4,2,246.88689814814816
2314,16,6,9,7,160.30885555555557
2315,126,27,94,32,112.60144116583004
2316,8,4,5,3,47.04996913580248
2317,38,12,22,16,97.07633937757201
2318,58,15,30,28,57.13088390313391
2319,5,3,3,2,813.4380555555556
2321,3,2,2,1,1070.7268055555555
2322,192,10,98,94,46.274155061440844
2323,21,11,11,10,73.12358333333334
2324,176,12,90,86,49.6378732016513
2325,16,4,11,5,69.74523148148148
2326,19,7,10,9,29.805879629629633
2327,103,36,63,40,70.82683891612201
2328,9,5,6,3,0.9340277777777778
2329,72,6,65,7,98.93441416215109
2330,74,18,38,36,43.38216672178131
2331,20,8,12,8,59.14936921296297
2333,127,17,62,65,57.3542954929398
2334,182,40,96,86,34.518711299136825
2336,45,3,18,27,116.4555005144033
2337,34,11,16,18,85.1547037037037
2338,35,13,18,17,20.566315586419755
2339,8,2,4,4,16.567199074074075
2340,27,10,16,11,330.2361226851852
2341,2,1,1,1,433.1476388888889
2342,23,7,12,11,98.57877711640211
2343,12,6,7,5,0.2637885802469136
2344,17,7,10,7,191.0535030864198
2345,3,1,2,1,168.54722222222222
2346,371,32,190,181,59.3753515511582
2347,2,1,1,1,0.9593055555555555
2348,18,11,13,5,1069.2254761904762
2349,6,2,3,3,210.4884375
2350,3,2,2,1,0.6784722222222223
2351,109,29,59,50,17.562614717788826
2352,18,7,10,8,391.4265410052911
2353,29,9,15,14,16.92239351851852
2354,15,6,9,6,9.985092592592594
2355,8,5,5,3,16.10699074074074
2356,2,1,1,1,1.0815277777777779
2357,2,1,1,1,407.21694444444444
2358,31,13,16,15,105.11154736467236
2359,3,2,2,1,120.41055555555556
2361,10,5,5,5,221.67902777777778
2362,8,3,4,4,20.245555555555555
2363,130,21,66,64,5.1088225413622235
2364,13,4,8,5,171.91556712962964
2365,9,4,5,4,155.57082175925925
2366,28,10,16,12,339.49858539094646
2367,28,5,17,11,103.53306666666667
2368,177,22,91,86,16.530348366493666
2369,109,16,55,54,47.965533637152774
2370,4,1,2,2,378.07243055555557
2371,60,23,34,26,35.277190972222215
2372,13,5,7,6,72.87440000000001
2373,4,2,2,2,0.33013888888888887
2374,9,6,6,3,12.057638888888889
2376,40,10,21,19,65.66335452279202
2377,51,14,26,25,76.09960292022791
2378,5,2,3,2,458.6392824074074
2379,41,15,23,18,101.53068981481482
2380,51,14,49,2,94.60353936187268
2381,13,2,11,2,174.92195105820105
2382,331,8,180,151,21.54006881561952
2383,23,4,12,11,52.5297995580808
2384,25,9,15,10,268.96431349206347
2385,8,3,5,3,397.94899305555555
2386,17,8,8,9,476.0230729166667
2387,69,12,40,29,92.44228993807117
2388,9,3,5,4,46.44089814814814
2389,73,25,43,30,66.9195698148148
2390,9,5,7,2,159.02260416666667
2391,12,5,6,6,150.23674999999997
2392,9,5,5,4,3.074791666666667
2394,7,5,5,2,245.90854166666668
2395,7,3,4,3,466.4847839506173
2396,34,3,17,17,16.753519570707073
2397,16,9,12,4,322.4615694444445
2398,60,10,30,30,7.191320138888889
2399,39,10,25,14,90.04692126322752
2400,97,9,57,40,62.845474078480116
2401,74,14,39,35,129.69201034625704
2402,37,8,28,9,52.31494916855631
2403,51,16,25,26,33.4776662808642
2404,3,2,2,1,0.013472222222222222
2405,71,22,37,34,22.734545382968
2406,16,4,8,8,74.30461805555555
2407,3,2,2,1,0.5147222222222222
2408,20,5,18,2,198.00297407407407
2409,2,1,1,1,0.05263888888888889
2411,262,48,159,103,26.17409961486668
2412,14,6,7,7,59.775312500000005
2413,3,1,2,1,73.05296296296297
2414,67,26,37,30,76.69886502849003
2416,15,7,12,3,171.30520061728396
2417,6,2,3,3,45.483263888888885
2418,8,4,4,4,623.434826388889
2419,14,4,11,3,298.43638888888887
2420,13,4,7,6,35.28230158730159
2421,17,6,9,8,232.4719675925926
2423,42,14,20,22,87.01888492063493
2424,261,47,156,105,69.61833247703639
2426,216,23,123,93,63.02632869069137
2427,7,3,4,3,351.893549382716
2428,2,1,1,1,0.16722222222222222
2429,24,7,17,7,129.08164285714284
2432,6,3,4,2,0.10212962962962963
2433,22,10,20,2,386.02055555555563
2434,3,1,2,1,496.44175925925924
2437,121,14,64,57,19.71171371760955
2438,5,2,4,1,210.301875
2439,9,8,8,1,85.83958333333334
2440,276,53,138,138,33.18888643136859
2441,653,61,418,235,57.4625821493479
2442,5,4,4,1,1007.9701388888889
2444,20,5,11,9,100.61824629629629
2445,26,13,13,13,235.38821581196584
2446,9,2,6,3,74.42550595238095
2447,42,6,31,11,16.48783989197531
2448,6,4,4,2,28.780347222222222
2449,28,12,15,13,110.95196464646465
2450,3,1,2,1,0.13175925925925927
2452,9,3,5,4,51.988958333333336
2454,16,6,9,7,9.19312114197531
2455,12,3,9,3,1.472037037037037
2456,83,15,42,41,22.580630138380137
2457,51,16,30,21,8.59460462962963
2458,9,5,7,2,37.16538194444445
2460,3,2,2,1,11.669583333333334
2461,54,4,29,25,39.021436738070356
2462,21,7,11,10,85.3044386574074
2463,4,2,2,2,437.60993055555554
2464,6,3,3,3,329.0710185185185
2465,12,4,6,6,68.98531084656085
2466,12,4,6,6,49.655902777777776
2468,71,21,42,29,40.282686759889145
2469,23,8,13,10,73.77897511574074
2470,19,9,11,8,193.1793187830688
2472,12,5,7,5,113.04644444444446
2473,7,3,4,3,225.18604166666665
2474,11,4,7,4,154.35787962962962
2475,45,18,24,21,47.352259259259256
2476,5,2,4,1,337.3177314814815
2477,2,1,1,1,0.14527777777777778
2478,8,2,5,3,364.97725925925926
2479,5,1,3,2,187.2
2480,2,1,1,1,12.0
2481,5,4,4,1,155.49375
2482,10,2,5,5,1.6078645833333334
2483,10,2,6,4,7.7818402777777775
2484,52,13,25,27,8.056604884557373
2487,15,5,9,6,85.44327777777778
2488,16,10,15,1,356.23394444444443
2489,11,4,7,4,76.28348379629631
2490,5,3,3,2,275.42229166666664
2491,10,4,6,4,48.982280092592596
2492,16,8,9,7,118.7416512345679
2493,13,4,11,2,26.89411458333333
2494,2,1,1,1,35.630833333333335
2496,3,2,2,1,443.9998611111111
2497,34,16,20,14,163.4134861111111
2498,12,5,7,5,351.1356828703704
2499,11,6,6,5,93.5496388888889
2500,634,42,429,205,17.336221637681632
2501,99,24,74,25,61.38778488756614
2502,6,3,4,2,280.0
2504,28,12,17,11,119.55074074074075
2505,3,1,2,1,465.44777777777773
2507,2,1,1,1,36.00013888888889
2508,94,22,49,45,49.483871862565046
2509,7,2,4,3,0.03636111111111111
2510,14,7,7,7,58.31585317460317
2512,4,2,3,1,128.13074074074075
2513,9,5,7,2,9.205625000000001
2514,4,2,2,2,222.40881944444445
2516,99,28,48,51,57.59844597705535
2517,2,1,1,1,204.4038888888889
2518,18,7,13,5,127.43031746031747
2519,8,2,5,3,206.12103174603175
2520,41,17,24,17,44.716796296296295
2521,147,37,83,64,22.633395443997873
2523,21,7,11,10,123.26206150793651
2524,22,8,17,5,149.07958201058202
2525,11,6,6,5,60.42227777777778
2526,35,12,22,13,141.27030555555555
2527,233,34,136,97,19.898112707072
2528,459,135,296,163,101.8401007730483
2529,13,5,10,3,93.16453703703704
2530,6,3,3,3,11.38162037037037
2531,7,4,5,2,150.62613425925926
2532,10,4,5,5,162.53810185185185
2533,2,1,1,1,2.3356944444444445
2534,102,15,58,44,65.68521909067364
2535,12,7,8,4,321.6358564814815
2536,12,9,9,3,76.61773148148148
2537,16,6,10,6,375.8829552469135
2538,32,19,19,13,139.5028952991453
2539,2,1,1,1,0.051111111111111114
2540,94,16,55,39,71.15270930335097
2541,4,1,2,2,305.8905555555556
2543,88,26,48,40,56.84425496031747
2544,30,9,15,15,32.26250900205761
2545,29,7,21,8,59.02289517195768
2546,169,83,95,74,78.50058074618735
2547,2,1,1,1,0.08430555555555555
2548,112,29,60,52,33.13382797390987
2550,13,4,6,7,13.9575
2552,17,8,12,5,53.48295138888889
2553,9,7,7,2,324.0538888888889
2554,7,3,4,3,211.30308641975307
2556,8,5,5,3,337.3612037037037
2557,87,30,46,41,29.913220117845114
2558,12,4,8,4,245.18659722222225
2559,4,2,2,2,6.2225
2560,42,15,25,17,37.31521913580247
2561,11,5,6,5,6.641416666666667
2562,23,17,19,4,359.6623148148148
2563,3,1,2,1,0.2288888888888889
2564,20,8,11,9,25.408703703703704
2565,6,3,4,2,256.18967592592594
2566,9,5,5,4,16.566354166666667
2567,262,34,145,117,11.724007634650262
2569,3,1,2,1,24.0
2570,10,6,8,2,62.86779320987654
2571,57,17,31,26,20.566464752567693
2572,14,6,13,1,276.20576851851854
2573,619,70,362,257,21.059715547699092
2575,8,2,5,3,98.95142361111111
2576,5,2,3,2,60.6575
2577,66,8,39,27,25.173740530881158
2578,27,12,14,13,61.432899305555544
2579,19,10,11,8,19.960989583333333
2580,37,13,22,15,5.103514423076922
2581,16,4,9,7,30.727754629629633
2582,19,11,12,7,27.052857142857142
2583,11,6,6,5,64.5198888888889
2585,25,7,14,11,55.47035082972583
2586,4,1,2,2,0.6149305555555555
2587,5,2,4,1,0.3996296296296296
2589,19,6,16,3,224.15767962962963
2590,6,5,5,1,0.4701388888888889
2592,21,11,13,8,115.77908436213991
2593,12,6,7,5,67.99997222222223
2596,33,11,18,15,104.17709722222223
2597,5,3,4,1,0.22314814814814812
2598,4,2,2,2,200.19175925925924
2599,11,4,7,4,84.44716666666667
2600,11,3,6,5,61.48918981481481
2601,17,9,13,4,204.25760030864197
2603,36,12,18,18,11.704519675925924
2605,37,9,20,17,2.5582477904040406
2606,59,15,30,29,8.05802160493827
2608,19,3,11,8,55.65994543650793
2609,4,2,3,1,0.128125
2611,10,4,5,5,92.86996527777778
2613,9,4,5,4,0.6631944444444444
2614,7,6,6,1,2.0680555555555555
2615,6,3,4,2,0.9589583333333334
2619,11,3,8,3,103.46980555555554
2620,49,14,27,22,40.330929941421005
2621,13,8,10,3,51.194259259259255
2622,4,2,2,2,0.03361111111111111
2623,2,1,1,1,0.86
2624,14,5,11,3,46.24841319444444
2625,2,1,1,1,1.1227777777777779
2627,29,10,14,15,34.65221296296297
2628,80,36,44,36,16.73606005291005
2630,5,3,3,2,1.114861111111111
2633,15,8,8,7,79.10482142857144
2634,16,6,9,7,47.108032407407414
2636,15,9,14,1,163.15791666666667
2638,6,3,4,2,0.886435185185185
2639,13,4,7,6,42.19506944444444
2641,9,8,8,1,1.2648611111111112
2642,4,2,2,2,77.25243055555555
2643,9,4,7,2,43.29601851851852
2644,33,10,19,14,71.05491111111111
2645,5,3,3,2,58.772222222222226
2646,3,2,2,1,0.6270833333333333
2647,39,15,25,14,48.776573082010586
2648,22,3,12,10,38.266842592592596
2649,11,3,9,2,17.246929012345678
2651,7,4,5,2,0.6327777777777778
2652,5,2,3,2,20.017384259259256
2655,30,10,16,14,24.663067129629628
2657,13,6,7,6,26.37604166666667
2660,4,2,2,2,252.0
2661,8,3,6,2,137.10575
2664,6,3,4,2,72.14729166666666
2665,13,5,8,5,4.877538888888888
2666,12,6,6,6,42.56199074074074
2668,6,3,4,2,44.72944444444445
2669,6,4,4,2,4.877013888888889
2670,38,13,30,8,55.737808922558926
2671,15,4,9,6,5.262991898148147
2672,8,4,4,4,6.7754513888888885
2673,13,4,7,6,33.126443452380954
2674,9,4,5,4,2.7600231481481483
2675,9,4,5,4,5.07738425925926
2677,17,9,9,8,13.547534722222224
2678,7,4,4,3,12.605000000000002
2680,12,5,7,5,116.98169560185187
2683,14,4,7,7,73.76985532407407
2684,11,5,7,4,54.61302083333334
2685,55,18,32,23,1.3331856261022927
2687,13,6,8,5,48.011333333333326
2690,3,2,2,1,61.62847222222222
2693,10,3,7,3,32.150875
2694,19,9,10,9,31.598958333333332
2695,20,10,17,3,10.696481481481483
2696,48,14,41,7,11.224263685388687
2698,9,2,5,4,18.262013888888887
2700,15,6,9,6,5.475212962962963
