identifier,Number of trading,Number of trading symbol,Number of buy,Number of sell,Trading frequency
663,38,14,22,16,715.4016618441357
664,209,16,105,104,74.08612830578008
665,41,14,23,18,168.06352248677248
666,67,14,39,28,806.8192379104814
667,6,3,5,1,1734.5725
669,40,13,27,13,916.4560185185187
670,22,8,11,11,1349.0609027777778
671,32,6,20,12,646.6107050264551
672,9,3,4,5,721.223387345679
673,28,9,15,13,647.6580493827161
674,3,1,2,1,15.826574074074074
676,24,3,18,6,740.1443471035137
678,26,11,14,12,566.7684583333333
679,7,3,4,3,5.86054012345679
680,15,7,8,7,90.18667592592593
681,61,17,27,34,2.217244113457349
682,17,2,10,7,294.60272222222227
683,120,13,106,14,446.53612615162615
684,56,20,31,25,1020.5816452692188
685,526,26,382,144,44.14939748845761
687,49,5,26,23,124.21108395895897
688,10,2,8,2,1452.0
690,7,5,6,1,0.32037037037037036
691,4173,50,2096,2077,97.67092390100386
692,235,47,184,51,603.7220443590585
693,21,8,14,7,975.3624735449736
694,57,8,28,29,21.726774602644088
695,19,9,10,9,556.8901909722222
696,3,1,2,1,21.924351851851853
697,48,8,27,21,346.18708217592587
698,19,3,11,8,102.19017875514403
699,8,5,7,1,79.94210648148149
700,2,1,1,1,3959.172916666667
701,13,2,11,2,534.236162037037
702,1140,32,589,551,178.5660755250771
703,7,4,6,1,0.5672222222222222
704,148,34,75,73,63.89137595315903
706,5,2,3,2,2004.7870833333336
707,29,5,21,8,1668.3554402209227
708,5,2,3,2,1941.971111111111
709,4,3,3,1,4391.989722222223
710,100,26,51,49,506.6266383951697
712,29,3,26,3,607.6392194989107
713,4487,29,2638,1849,107.58354080764467
714,32,13,21,11,228.4779675925926
715,5,2,3,2,1713.5272453703703
716,22,9,14,8,337.3395277777778
717,1572,37,838,734,163.92146676273546
719,3,1,2,1,480.0733333333333
720,318,26,215,103,128.8274490419433
721,10,5,6,4,1291.624224537037
722,69,19,40,29,260.6572472787361
723,13,4,9,4,512.4166898148148
724,2,1,1,1,0.2658333333333333
725,87,8,64,23,373.6846970135382
727,40,18,20,20,306.8374169389979
728,69,16,51,18,797.9441832768408
729,262,26,149,113,336.5309373720905
731,3,2,2,1,3.16625
733,7,4,5,2,11.813425925925925
734,6,5,5,1,24.134305555555557
735,22,8,12,10,311.885126984127
737,16,6,15,1,1099.7007523148147
738,5,2,3,2,375.9999537037037
740,25,12,14,11,693.5370439814815
741,61,8,49,12,724.4377342971911
742,9,2,4,5,262.0373148148148
744,9,2,4,5,509.7403472222223
745,13,5,7,6,1155.1297777777777
747,39,12,20,19,230.45078914141416
748,35,7,18,17,7.522355709876543
749,23,6,12,11,706.3152527006172
750,33,6,19,14,76.7076388888889
751,262,6,127,135,75.24811497156787
752,116,27,64,52,393.5449560538207
