identifier,Number of trading,Number of trading symbol,Number of buy,Number of sell,Trading frequency,Cluster
364,13,7,8,5,1997.2023,Cluster 0
367,18,8,11,7,1693.7656,Cluster 0
374,48,12,39,9,1516.1525,Cluster 0
376,5,3,3,2,2286.28,Cluster 0
380,2,1,1,1,2294.0366,Cluster 0
413,3,1,1,2,2936.0,Cluster 0
433,33,11,32,1,1437.4648,Cluster 0
442,2,1,1,1,3431.7666,Cluster 0
449,3,2,2,1,5039.852,Cluster 0
456,4,2,3,1,3096.0867,Cluster 0
