identifier,Number of trading,Number of trading symbol,Number of buy,Number of sell,Trading frequency,Cluster
1761,16,6,9,7,590.82275,Cluster 3
1762,84,24,45,39,181.81667,Cluster 3
1763,41,9,21,20,152.71683,Cluster 3
1764,12,6,7,5,862.24664,Cluster 3
1765,2,1,1,1,935.14526,Cluster 3
1766,203,43,118,85,58.257755,Cluster 3
1767,62,7,44,18,147.54105,Cluster 3
1768,7,4,4,3,619.9575,Cluster 3
1769,19,5,11,8,160.16795,Cluster 3
1770,127,11,91,36,280.51883,Cluster 3
1771,107,31,56,51,332.67575,Cluster 3
1774,26,4,21,5,618.54395,Cluster 3
1776,84,19,42,42,85.16277,Cluster 3
1777,7,3,4,3,369.0417,Cluster 3
1778,3,2,2,1,37.990696,Cluster 3
1780,119,20,62,57,41.401474,Cluster 3
1781,10,2,9,1,384.08636,Cluster 3
1782,3,2,2,1,0.1723611,Cluster 3
1783,33,14,17,16,343.61713,Cluster 3
1785,13,1,11,2,273.15384,Cluster 3
1788,29,10,22,7,666.72974,Cluster 3
1790,27,6,21,6,618.4532,Cluster 3
1791,21,4,13,8,11.60845,Cluster 3
1793,85,24,45,40,59.287956,Cluster 3
1795,46,10,23,23,537.43054,Cluster 3
1796,31,9,17,14,125.61182,Cluster 3
1797,20,9,11,9,999.22723,Cluster 3
1799,35,6,30,5,359.33466,Cluster 3
1800,34,10,19,15,261.23566,Cluster 3
1802,22,7,12,10,287.2527,Cluster 3
1805,4,2,2,2,0.92125,Cluster 3
1806,86,10,72,14,143.99884,Cluster 3
1808,39,9,20,19,397.86353,Cluster 3
1809,2,1,1,1,0.02486111,Cluster 3
1810,15,7,8,7,6.33375,Cluster 3
1811,26,13,14,12,161.82622,Cluster 3
1812,56,13,31,25,272.26718,Cluster 3
1813,77,4,39,38,21.777061,Cluster 3
1814,46,4,20,26,109.9615,Cluster 3
1815,6,2,3,3,0.05659722,Cluster 3
1816,451,24,239,212,75.60895,Cluster 3
1817,10,1,6,4,12.225194,Cluster 3
1818,105,21,53,52,117.588646,Cluster 3
1819,106,21,54,52,85.02255,Cluster 3
1820,74,21,39,35,435.92676,Cluster 3
1821,71,14,65,6,729.7478,Cluster 3
1822,54,19,32,22,213.9605,Cluster 3
1824,31,11,16,15,384.05557,Cluster 3
1826,200,43,100,100,300.3465,Cluster 3
1829,171,24,88,83,42.834534,Cluster 3
1830,55,13,28,27,115.731415,Cluster 3
1831,4,1,2,2,0.38215277,Cluster 3
1832,39,12,20,19,34.788315,Cluster 3
1833,160,27,98,62,271.60596,Cluster 3
1834,4,2,2,2,401.89743,Cluster 3
1835,123,29,66,57,122.01203,Cluster 3
1837,27,12,16,11,631.559,Cluster 3
1840,161,18,102,59,69.33565,Cluster 3
1841,22,4,13,9,505.54507,Cluster 3
1843,42,11,22,20,101.472336,Cluster 3
1844,44,3,24,20,121.301704,Cluster 3
1845,34,11,24,10,299.43008,Cluster 3
1846,68,19,35,33,176.59279,Cluster 3
1847,104,25,96,8,769.8653,Cluster 3
1848,201,19,141,60,112.42801,Cluster 3
1849,130,20,73,57,238.33606,Cluster 3
1850,45,13,28,17,277.7056,Cluster 3
1851,38,7,20,18,339.9813,Cluster 3
1853,53,10,29,24,67.32862,Cluster 3
1854,158,20,81,77,10.832271,Cluster 3
1856,35,7,18,17,6.4514823,Cluster 3
1857,211,24,138,73,247.47238,Cluster 3
1858,10,5,5,5,700.44366,Cluster 3
1859,355,14,189,166,79.6651,Cluster 3
1861,25,5,18,7,86.59658,Cluster 3
1862,61,10,35,26,207.17024,Cluster 3
1863,5,3,3,2,1073.2925,Cluster 3
1864,15,8,10,5,746.0008,Cluster 3
1865,35,9,16,19,412.32983,Cluster 3
1866,173,24,91,82,77.921936,Cluster 3
1867,31,17,18,13,1042.7308,Cluster 3
1868,9,4,6,3,228.5964,Cluster 3
1869,57,13,29,28,98.642746,Cluster 3
1870,15,7,11,4,105.41833,Cluster 3
1871,5,3,3,2,137.95847,Cluster 3
1872,14,4,9,5,256.57196,Cluster 3
1873,28,14,16,12,243.1513,Cluster 3
1874,40,7,32,8,234.02802,Cluster 3
1875,324,31,194,130,60.561634,Cluster 3
1876,14,5,8,6,19.198288,Cluster 3
1877,24,9,14,10,254.56758,Cluster 3
1878,18,7,10,8,315.65048,Cluster 3
1880,23,4,12,11,356.74518,Cluster 3
1881,15,3,9,6,581.69165,Cluster 3
1882,70,11,36,34,158.32207,Cluster 3
1883,35,9,24,11,341.644,Cluster 3
1884,18,6,9,9,86.72017,Cluster 3
1885,133,30,66,67,142.07066,Cluster 3
1886,4,1,2,2,29.165764,Cluster 3
1887,34,10,21,13,32.936344,Cluster 3
1888,11,6,6,5,741.294,Cluster 3
1890,15,5,8,7,224.25317,Cluster 3
1891,48,11,26,22,17.084042,Cluster 3
1892,26,6,19,7,359.11725,Cluster 3
1894,36,14,23,13,431.72733,Cluster 3
1895,10,5,6,4,276.4599,Cluster 3
1896,415,20,210,205,42.29737,Cluster 3
1897,173,34,88,85,98.647644,Cluster 3
1898,4,2,2,2,0.39152777,Cluster 3
1899,39,15,22,17,162.93332,Cluster 3
1900,5,3,4,1,0.08444444,Cluster 3
1901,21,5,13,8,117.510994,Cluster 3
1902,13,5,8,5,398.36237,Cluster 3
1904,3,1,2,1,288.0001,Cluster 3
1906,9,6,7,2,568.00006,Cluster 3
1907,3,2,2,1,348.145,Cluster 3
1908,11,4,6,5,488.93085,Cluster 3
1909,204,21,112,92,88.80848,Cluster 3
1910,10,6,6,4,3.1024654,Cluster 3
1912,4,2,3,1,0.083680555,Cluster 3
1913,230,20,117,113,19.913918,Cluster 3
1914,55,5,47,8,178.69022,Cluster 3
1915,14,5,7,7,108.46243,Cluster 3
1916,4,2,2,2,335.4241,Cluster 3
1917,24,8,12,12,202.5899,Cluster 3
1919,72,8,36,36,65.860725,Cluster 3
1920,31,13,17,14,203.4397,Cluster 3
1921,20,5,10,10,216.41457,Cluster 3
1922,41,15,26,15,403.9932,Cluster 3
1923,17,7,9,8,279.76144,Cluster 3
1924,37,7,22,15,22.95848,Cluster 3
1926,19,8,11,8,6.841065,Cluster 3
1927,42,6,23,19,10.568007,Cluster 3
1928,40,7,22,18,361.63828,Cluster 3
1929,21,10,11,10,198.56789,Cluster 3
1931,46,6,23,23,87.04886,Cluster 3
1933,14,5,12,2,362.92313,Cluster 3
1934,44,7,26,18,167.576,Cluster 3
1935,161,34,83,78,40.201603,Cluster 3
1936,457,23,238,219,77.50304,Cluster 3
1937,15,6,8,7,78.74827,Cluster 3
1938,74,16,42,32,126.06383,Cluster 3
1939,136,20,84,52,76.15038,Cluster 3
1941,170,9,92,78,9.268174,Cluster 3
1942,10,4,5,5,54.505783,Cluster 3
1943,48,33,39,9,509.65,Cluster 3
1945,7,1,6,1,575.85724,Cluster 3
1948,5,3,4,1,857.9915,Cluster 3
1949,8,4,5,3,492.72366,Cluster 3
1951,288,13,149,139,13.237012,Cluster 3
1953,3,2,2,1,48.52486,Cluster 3
1954,271,34,139,132,165.44943,Cluster 3
1955,14,6,7,7,89.02896,Cluster 3
1956,83,14,43,40,184.12859,Cluster 3
1957,23,7,12,11,285.18332,Cluster 3
1958,45,9,23,22,134.57751,Cluster 3
1959,25,9,12,13,156.77237,Cluster 3
1960,23,9,12,11,522.1586,Cluster 3
1962,4,1,2,2,575.66174,Cluster 3
1963,33,11,18,15,133.47246,Cluster 3
1964,6,3,3,3,776.9278,Cluster 3
1966,4,2,2,2,829.18994,Cluster 3
1968,18,7,10,8,99.09962,Cluster 3
1970,9,3,5,4,456.90952,Cluster 3
1971,4,2,2,2,107.890625,Cluster 3
1972,12,8,8,4,118.113266,Cluster 3
1973,11,4,10,1,693.2164,Cluster 3
1974,25,2,13,12,140.86118,Cluster 3
1975,7,3,3,4,96.13355,Cluster 3
1976,16,6,10,6,133.63896,Cluster 3
1977,33,15,17,16,37.051865,Cluster 3
1979,9,5,5,4,357.90955,Cluster 3
1980,8,4,4,4,15.369306,Cluster 3
1981,64,14,35,29,280.63684,Cluster 3
1982,23,12,12,11,110.02175,Cluster 3
1983,17,6,9,8,231.62242,Cluster 3
1986,48,13,24,24,149.99323,Cluster 3
1987,6,3,3,3,124.24398,Cluster 3
1988,38,13,23,15,206.15863,Cluster 3
1989,11,3,6,5,244.62387,Cluster 3
1990,8,5,6,2,331.80154,Cluster 3
1991,28,4,15,13,214.85707,Cluster 3
1992,12,4,7,5,204.85036,Cluster 3
1994,15,5,9,6,309.65225,Cluster 3
1995,187,18,94,93,90.82887,Cluster 3
1996,10,2,6,4,389.68027,Cluster 3
1998,23,8,13,10,52.15188,Cluster 3
2000,11,3,6,5,123.610634,Cluster 3
2003,6,3,3,3,189.9405,Cluster 3
2004,9,5,6,3,471.36713,Cluster 3
2005,14,7,8,6,19.914822,Cluster 3
2006,161,15,80,81,112.72069,Cluster 3
2007,3,2,2,1,251.99986,Cluster 3
2008,79,12,40,39,272.90848,Cluster 3
2009,471,28,239,232,24.440935,Cluster 3
2010,10,3,6,4,27.851439,Cluster 3
2011,14,5,7,7,37.168945,Cluster 3
2012,53,10,39,14,77.11812,Cluster 3
2013,36,9,19,17,20.617708,Cluster 3
2014,39,9,23,16,147.38731,Cluster 3
2015,44,9,23,21,78.419975,Cluster 3
2016,18,8,16,2,235.6202,Cluster 3
2017,26,10,15,11,420.6903,Cluster 3
2018,16,5,8,8,67.05451,Cluster 3
2019,30,11,17,13,302.9583,Cluster 3
2020,3,2,2,1,275.99985,Cluster 3
2021,45,18,24,21,149.09117,Cluster 3
2022,59,15,42,17,396.41562,Cluster 3
2023,127,29,66,61,42.880836,Cluster 3
2024,52,6,44,8,192.05228,Cluster 3
2025,40,6,21,19,139.83961,Cluster 3
2028,183,26,97,86,153.03734,Cluster 3
2030,9,2,5,4,85.1717,Cluster 3
2031,236,22,141,95,62.803947,Cluster 3
2032,4,2,3,1,686.64417,Cluster 3
2034,58,10,34,24,131.66264,Cluster 3
2035,54,12,33,21,153.54398,Cluster 3
2036,10,4,6,4,0.17310186,Cluster 3
2038,10,4,6,4,480.545,Cluster 3
2039,90,13,47,43,134.25146,Cluster 3
2041,18,7,10,8,369.63995,Cluster 3
2043,156,47,80,76,80.48072,Cluster 3
2044,41,10,24,17,141.93237,Cluster 3
2046,20,9,10,10,26.214914,Cluster 3
2048,3,1,2,1,38.95139,Cluster 3
2049,12,5,8,4,280.03482,Cluster 3
2050,17,8,9,8,96.19403,Cluster 3
2051,45,8,24,21,160.06819,Cluster 3
2052,29,7,18,11,65.152435,Cluster 3
2053,12,5,6,6,298.945,Cluster 3
2054,17,5,12,5,94.24358,Cluster 3
2056,54,10,32,22,197.94789,Cluster 3
2059,10,3,8,2,1096.3439,Cluster 3
2060,120,29,60,60,80.03468,Cluster 3
2061,21,8,13,8,149.48535,Cluster 3
2062,16,11,13,3,212.20331,Cluster 3
2063,26,6,19,7,630.54047,Cluster 3
2065,132,19,67,65,47.689953,Cluster 3
2066,38,13,20,18,27.963747,Cluster 3
2067,4,2,2,2,311.5766,Cluster 3
2068,11,2,7,4,105.32012,Cluster 3
2070,5,2,4,1,1020.6369,Cluster 3
2071,8,4,4,4,75.57524,Cluster 3
2072,10,3,6,4,289.39188,Cluster 3
2073,36,9,19,17,143.51183,Cluster 3
2075,5,3,3,2,252.0,Cluster 3
2076,11,3,6,5,441.45636,Cluster 3
2078,27,12,15,12,545.1191,Cluster 3
2079,20,6,14,6,181.2975,Cluster 3
2080,69,19,33,36,67.09606,Cluster 3
2081,319,35,185,134,94.4837,Cluster 3
2082,2,1,1,1,347.94055,Cluster 3
2083,15,7,8,7,427.80234,Cluster 3
2084,26,11,14,12,211.84819,Cluster 3
2085,3,2,2,1,612.175,Cluster 3
2086,6,2,3,3,101.78604,Cluster 3
2088,9,4,5,4,126.017914,Cluster 3
2089,155,21,79,76,97.869385,Cluster 3
2090,23,9,12,11,164.7703,Cluster 3
2091,3,1,2,1,40.33852,Cluster 3
2092,8,5,6,2,4.1214585,Cluster 3
2093,187,10,95,92,15.425388,Cluster 3
2094,15,5,9,6,149.76515,Cluster 3
2095,207,19,145,62,63.231323,Cluster 3
2097,17,3,10,7,443.60516,Cluster 3
2098,12,6,8,4,0.12814815,Cluster 3
2099,4,1,2,2,210.00008,Cluster 3
2100,12,4,8,4,489.9683,Cluster 3
2101,13,6,7,6,416.28223,Cluster 3
2102,3,1,2,1,41.954445,Cluster 3
2103,9,4,7,2,353.80948,Cluster 3
2104,5,3,3,2,731.75006,Cluster 3
2106,8,5,6,2,84.97799,Cluster 3
2108,7,3,4,3,128.9229,Cluster 3
2110,28,11,15,13,51.253025,Cluster 3
2111,96,13,50,46,110.51628,Cluster 3
2112,32,10,16,16,47.581997,Cluster 3
2113,13,4,8,5,107.3184,Cluster 3
2114,10,1,4,6,225.68878,Cluster 3
2116,168,22,90,78,115.82232,Cluster 3
2117,9,3,5,4,113.0538,Cluster 3
2120,16,9,9,7,50.18008,Cluster 3
2121,2,1,1,1,12.0,Cluster 3
2122,44,11,22,22,4.942262,Cluster 3
2125,4,2,3,1,0.7156944,Cluster 3
2126,16,6,8,8,230.27478,Cluster 3
2127,53,20,27,26,141.36758,Cluster 3
2128,172,17,89,83,70.6913,Cluster 3
2129,95,10,58,37,36.784916,Cluster 3
2130,77,27,71,6,259.15683,Cluster 3
2131,29,6,25,4,367.7628,Cluster 3
2132,14,3,11,3,349.04352,Cluster 3
2133,281,35,157,124,41.88231,Cluster 3
2135,33,13,21,12,239.77003,Cluster 3
2137,56,6,51,5,169.94124,Cluster 3
2138,20,7,11,9,151.6616,Cluster 3
2140,40,3,19,21,143.81816,Cluster 3
2141,15,3,11,4,369.7716,Cluster 3
2142,26,6,18,8,402.40137,Cluster 3
2143,13,7,8,5,180.18723,Cluster 3
2144,43,6,27,16,377.2571,Cluster 3
2145,9,4,5,4,414.3408,Cluster 3
2146,108,10,64,44,90.76904,Cluster 3
2147,3,1,2,1,191.91185,Cluster 3
2148,60,10,36,24,257.69122,Cluster 3
2149,16,4,8,8,248.28752,Cluster 3
2150,8,5,6,2,285.5589,Cluster 3
2152,45,14,25,20,62.342384,Cluster 3
2153,37,27,31,6,409.09195,Cluster 3
2154,14,6,8,6,349.1211,Cluster 3
2155,10,4,6,4,71.02962,Cluster 3
2156,10,4,6,4,297.7606,Cluster 3
2157,7,2,4,3,609.76953,Cluster 3
2158,10,3,5,5,561.5461,Cluster 3
2159,173,29,97,76,105.25609,Cluster 3
2161,4,2,2,2,16.868263,Cluster 3
2162,5,4,4,1,181.11389,Cluster 3
2163,27,5,14,13,115.23882,Cluster 3
2164,88,23,44,44,10.122009,Cluster 3
2165,4,3,3,1,816.01874,Cluster 3
2167,83,25,43,40,82.08053,Cluster 3
2168,61,14,36,25,113.984245,Cluster 3
2170,37,10,19,18,222.48833,Cluster 3
2171,134,15,104,30,96.15962,Cluster 3
2174,27,5,15,12,99.307335,Cluster 3
2176,4,2,2,2,479.46146,Cluster 3
2177,11,5,6,5,101.43793,Cluster 3
2179,21,9,11,10,211.73251,Cluster 3
2181,15,5,9,6,84.26189,Cluster 3
2182,29,9,15,14,202.89964,Cluster 3
2183,36,11,19,17,458.1817,Cluster 3
2184,115,32,60,55,33.299423,Cluster 3
2185,11,3,7,4,616.5888,Cluster 3
2186,34,7,32,2,213.22057,Cluster 3
2187,7,3,5,2,709.55176,Cluster 3
2188,18,9,10,8,176.59108,Cluster 3
2191,113,27,57,56,28.447298,Cluster 3
2192,23,11,12,11,62.296333,Cluster 3
2193,7,3,4,3,222.14706,Cluster 3
2194,11,4,6,5,481.81586,Cluster 3
2195,23,2,12,11,45.01501,Cluster 3
2196,58,12,43,15,239.26677,Cluster 3
2197,11,3,5,6,0.13169974,Cluster 3
2199,5,1,3,2,244.80028,Cluster 3
2200,10,5,5,5,458.7641,Cluster 3
2201,32,8,17,15,155.42049,Cluster 3
2203,10,8,9,1,192.36362,Cluster 3
2204,4,2,2,2,582.0342,Cluster 3
2205,48,7,25,23,119.64159,Cluster 3
2206,20,6,14,6,310.19543,Cluster 3
2207,57,14,31,26,254.6714,Cluster 3
2208,11,5,6,5,308.43488,Cluster 3
2209,132,25,73,59,45.700306,Cluster 3
2210,21,6,13,8,192.33983,Cluster 3
2212,7,2,5,2,304.38074,Cluster 3
2214,41,11,24,17,14.2173395,Cluster 3
2215,17,9,14,3,952.4809,Cluster 3
2216,7,4,6,1,0.5196991,Cluster 3
2217,2,1,1,1,432.00015,Cluster 3
2218,15,6,8,7,39.636097,Cluster 3
2219,72,18,41,31,208.03777,Cluster 3
2221,12,5,6,6,104.274796,Cluster 3
2223,20,7,11,9,7.8282485,Cluster 3
2224,181,12,90,91,46.62396,Cluster 3
2225,24,7,23,1,32.71528,Cluster 3
2226,2,1,1,1,12.0002775,Cluster 3
2227,24,10,12,12,64.83804,Cluster 3
2228,46,9,32,14,5.361395,Cluster 3
2229,6,4,4,2,0.06340278,Cluster 3
2230,56,6,44,12,221.03683,Cluster 3
2231,100,21,58,42,87.32192,Cluster 3
2232,32,10,16,16,122.26697,Cluster 3
2233,7,4,6,1,3.2315278,Cluster 3
2234,8,4,4,4,621.0039,Cluster 3
2235,18,5,17,1,581.1609,Cluster 3
2236,3,2,2,1,575.9997,Cluster 3
2237,38,9,24,14,143.12988,Cluster 3
2239,13,5,7,6,152.68768,Cluster 3
2241,2,1,1,1,528.8175,Cluster 3
2242,146,14,85,61,208.21973,Cluster 3
2243,5,1,3,2,87.21489,Cluster 3
2244,14,5,7,7,273.02695,Cluster 3
2245,73,18,38,35,220.97545,Cluster 3
2247,13,4,7,6,129.12788,Cluster 3
2248,3,1,2,1,8.894259,Cluster 3
2249,20,9,11,9,279.8736,Cluster 3
2251,22,7,11,11,384.75,Cluster 3
2252,105,19,59,46,73.63102,Cluster 3
2253,3,2,2,1,0.5769445,Cluster 3
2254,4,2,2,2,36.09667,Cluster 3
2255,23,5,17,6,419.827,Cluster 3
2256,3,1,2,1,80.0,Cluster 3
2257,14,6,7,7,192.14024,Cluster 3
2259,3,2,2,1,453.455,Cluster 3
2261,2,1,1,1,12.000556,Cluster 3
2262,8,4,4,4,322.0041,Cluster 3
2264,19,4,10,9,154.06372,Cluster 3
2265,23,10,12,11,184.85216,Cluster 3
2266,15,5,8,7,167.59175,Cluster 3
2268,98,23,49,49,69.74116,Cluster 3
2269,4,2,3,1,248.17833,Cluster 3
2271,4,2,2,2,112.79521,Cluster 3
2272,4,1,1,3,83.68986,Cluster 3
2273,52,10,29,23,9.127642,Cluster 3
2274,48,10,36,12,219.925,Cluster 3
2275,108,25,61,47,68.69165,Cluster 3
2277,55,22,32,23,373.21637,Cluster 3
2278,13,6,7,6,132.38855,Cluster 3
2279,9,6,6,3,215.90343,Cluster 3
2280,6,3,3,3,243.67972,Cluster 3
2281,24,9,14,10,423.2304,Cluster 3
2282,30,5,18,12,119.21148,Cluster 3
2284,77,15,39,38,49.10916,Cluster 3
2285,13,3,9,4,92.32562,Cluster 3
2286,9,3,5,4,5.2989535,Cluster 3
2287,33,16,17,16,115.98905,Cluster 3
2288,84,12,49,35,55.53536,Cluster 3
2289,23,7,12,11,108.24758,Cluster 3
2290,43,8,26,17,212.3073,Cluster 3
2291,43,13,30,13,180.47557,Cluster 3
2292,8,3,4,4,6.441343,Cluster 3
2293,12,7,8,4,321.57938,Cluster 3
2294,10,4,6,4,540.5262,Cluster 3
2295,9,5,5,4,231.02281,Cluster 3
2297,17,6,9,8,144.98012,Cluster 3
2298,3,2,2,1,2.1088889,Cluster 3
2299,29,3,15,14,83.26448,Cluster 3
2300,130,35,67,63,38.188152,Cluster 3
2301,24,8,23,1,604.9406,Cluster 3
2303,72,26,38,34,59.69774,Cluster 3
2304,26,7,15,11,181.31923,Cluster 3
2305,20,11,12,8,205.94498,Cluster 3
2306,39,7,32,7,236.99255,Cluster 3
2307,13,5,7,6,140.14384,Cluster 3
2308,46,15,25,21,52.753376,Cluster 3
2309,123,7,61,62,23.729769,Cluster 3
2310,24,6,15,9,139.03911,Cluster 3
2312,11,4,6,5,17.553768,Cluster 3
2313,6,3,4,2,246.8869,Cluster 3
2314,16,6,9,7,160.30885,Cluster 3
2315,126,27,94,32,112.60144,Cluster 3
2316,8,4,5,3,47.04997,Cluster 3
2317,38,12,22,16,97.07634,Cluster 3
2318,58,15,30,28,57.130882,Cluster 3
2319,5,3,3,2,813.43805,Cluster 3
2321,3,2,2,1,1070.7268,Cluster 3
2322,192,10,98,94,46.274155,Cluster 3
2323,21,11,11,10,73.12358,Cluster 3
2324,176,12,90,86,49.637875,Cluster 3
2325,16,4,11,5,69.74523,Cluster 3
2326,19,7,10,9,29.80588,Cluster 3
2327,103,36,63,40,70.826836,Cluster 3
2328,9,5,6,3,0.9340278,Cluster 3
2329,72,6,65,7,98.93442,Cluster 3
2330,74,18,38,36,43.382168,Cluster 3
2331,20,8,12,8,59.14937,Cluster 3
2333,127,17,62,65,57.354294,Cluster 3
2334,182,40,96,86,34.51871,Cluster 3
2336,45,3,18,27,116.4555,Cluster 3
2337,34,11,16,18,85.1547,Cluster 3
2338,35,13,18,17,20.566315,Cluster 3
2339,8,2,4,4,16.5672,Cluster 3
2340,27,10,16,11,330.2361,Cluster 3
2341,2,1,1,1,433.14764,Cluster 3
2342,23,7,12,11,98.57877,Cluster 3
2343,12,6,7,5,0.26378858,Cluster 3
2344,17,7,10,7,191.0535,Cluster 3
2345,3,1,2,1,168.54723,Cluster 3
2346,371,32,190,181,59.37535,Cluster 3
2347,2,1,1,1,0.9593056,Cluster 3
2348,18,11,13,5,1069.2255,Cluster 3
2349,6,2,3,3,210.48843,Cluster 3
2350,3,2,2,1,0.6784722,Cluster 3
2351,109,29,59,50,17.562614,Cluster 3
2352,18,7,10,8,391.42654,Cluster 3
2353,29,9,15,14,16.922394,Cluster 3
2354,15,6,9,6,9.985092,Cluster 3
2355,8,5,5,3,16.10699,Cluster 3
2356,2,1,1,1,1.0815278,Cluster 3
2357,2,1,1,1,407.21695,Cluster 3
2358,31,13,16,15,105.11155,Cluster 3
2359,3,2,2,1,120.41055,Cluster 3
2361,10,5,5,5,221.67903,Cluster 3
2362,8,3,4,4,20.245556,Cluster 3
2363,130,21,66,64,5.1088223,Cluster 3
2364,13,4,8,5,171.91557,Cluster 3
2365,9,4,5,4,155.57082,Cluster 3
2366,28,10,16,12,339.4986,Cluster 3
2367,28,5,17,11,103.533066,Cluster 3
2368,177,22,91,86,16.530348,Cluster 3
2369,109,16,55,54,47.965534,Cluster 3
2370,4,1,2,2,378.07242,Cluster 3
2371,60,23,34,26,35.27719,Cluster 3
2372,13,5,7,6,72.8744,Cluster 3
2373,4,2,2,2,0.3301389,Cluster 3
2374,9,6,6,3,12.057639,Cluster 3
2376,40,10,21,19,65.66335,Cluster 3
2377,51,14,26,25,76.0996,Cluster 3
2378,5,2,3,2,458.63928,Cluster 3
2379,41,15,23,18,101.53069,Cluster 3
2380,51,14,49,2,94.60354,Cluster 3
2381,13,2,11,2,174.92195,Cluster 3
2382,331,8,180,151,21.54007,Cluster 3
2383,23,4,12,11,52.5298,Cluster 3
2384,25,9,15,10,268.96432,Cluster 3
2385,8,3,5,3,397.949,Cluster 3
2386,17,8,8,9,476.02307,Cluster 3
2387,69,12,40,29,92.44229,Cluster 3
2388,9,3,5,4,46.4409,Cluster 3
2389,73,25,43,30,66.91957,Cluster 3
2390,9,5,7,2,159.0226,Cluster 3
2391,12,5,6,6,150.23676,Cluster 3
2392,9,5,5,4,3.0747917,Cluster 3
2394,7,5,5,2,245.90854,Cluster 3
2395,7,3,4,3,466.48477,Cluster 3
2396,34,3,17,17,16.75352,Cluster 3
2397,16,9,12,4,322.46158,Cluster 3
2398,60,10,30,30,7.19132,Cluster 3
2399,39,10,25,14,90.04692,Cluster 3
2400,97,9,57,40,62.845474,Cluster 3
2401,74,14,39,35,129.69202,Cluster 3
2402,37,8,28,9,52.31495,Cluster 3
2403,51,16,25,26,33.477665,Cluster 3
2404,3,2,2,1,0.013472222,Cluster 3
2405,71,22,37,34,22.734545,Cluster 3
2406,16,4,8,8,74.30462,Cluster 3
2407,3,2,2,1,0.5147222,Cluster 3
2408,20,5,18,2,198.00298,Cluster 3
2409,2,1,1,1,0.05263889,Cluster 3
2412,14,6,7,7,59.775314,Cluster 3
2413,3,1,2,1,73.05296,Cluster 3
2414,67,26,37,30,76.69887,Cluster 3
2416,15,7,12,3,171.3052,Cluster 3
2417,6,2,3,3,45.483265,Cluster 3
2418,8,4,4,4,623.4348,Cluster 3
2419,14,4,11,3,298.4364,Cluster 3
2420,13,4,7,6,35.282303,Cluster 3
2421,17,6,9,8,232.47197,Cluster 3
2423,42,14,20,22,87.01888,Cluster 3
2426,216,23,123,93,63.02633,Cluster 3
2427,7,3,4,3,351.89355,Cluster 3
2428,2,1,1,1,0.16722222,Cluster 3
2429,24,7,17,7,129.08165,Cluster 3
2432,6,3,4,2,0.10212963,Cluster 3
2433,22,10,20,2,386.02057,Cluster 3
2434,3,1,2,1,496.44177,Cluster 3
2437,121,14,64,57,19.711714,Cluster 3
2438,5,2,4,1,210.30188,Cluster 3
2439,9,8,8,1,85.839584,Cluster 3
2442,5,4,4,1,1007.97015,Cluster 3
2444,20,5,11,9,100.61825,Cluster 3
2445,26,13,13,13,235.38821,Cluster 3
2446,9,2,6,3,74.42551,Cluster 3
2447,42,6,31,11,16.48784,Cluster 3
2448,6,4,4,2,28.780348,Cluster 3
2449,28,12,15,13,110.951965,Cluster 3
2450,3,1,2,1,0.13175926,Cluster 3
2452,9,3,5,4,51.988956,Cluster 3
2454,16,6,9,7,9.193121,Cluster 3
2455,12,3,9,3,1.4720371,Cluster 3
2456,83,15,42,41,22.58063,Cluster 3
2457,51,16,30,21,8.5946045,Cluster 3
2458,9,5,7,2,37.165382,Cluster 3
2460,3,2,2,1,11.669583,Cluster 3
2461,54,4,29,25,39.02144,Cluster 3
2462,21,7,11,10,85.304436,Cluster 3
2463,4,2,2,2,437.60992,Cluster 3
2464,6,3,3,3,329.071,Cluster 3
2465,12,4,6,6,68.98531,Cluster 3
2466,12,4,6,6,49.655903,Cluster 3
2468,71,21,42,29,40.28269,Cluster 3
2469,23,8,13,10,73.77898,Cluster 3
2470,19,9,11,8,193.17932,Cluster 3
2472,12,5,7,5,113.04645,Cluster 3
2473,7,3,4,3,225.18604,Cluster 3
2474,11,4,7,4,154.35788,Cluster 3
2475,45,18,24,21,47.35226,Cluster 3
2476,5,2,4,1,337.31772,Cluster 3
2477,2,1,1,1,0.14527778,Cluster 3
2478,8,2,5,3,364.97726,Cluster 3
2479,5,1,3,2,187.2,Cluster 3
2480,2,1,1,1,12.0,Cluster 3
2481,5,4,4,1,155.49374,Cluster 3
2482,10,2,5,5,1.6078646,Cluster 3
2483,10,2,6,4,7.7818403,Cluster 3
2484,52,13,25,27,8.056605,Cluster 3
2487,15,5,9,6,85.443275,Cluster 3
2488,16,10,15,1,356.23395,Cluster 3
2489,11,4,7,4,76.283485,Cluster 3
2490,5,3,3,2,275.4223,Cluster 3
2491,10,4,6,4,48.98228,Cluster 3
2492,16,8,9,7,118.74165,Cluster 3
2493,13,4,11,2,26.894115,Cluster 3
2494,2,1,1,1,35.630833,Cluster 3
2496,3,2,2,1,443.99985,Cluster 3
2497,34,16,20,14,163.41348,Cluster 3
2498,12,5,7,5,351.13568,Cluster 3
2499,11,6,6,5,93.54964,Cluster 3
2501,99,24,74,25,61.387783,Cluster 3
2502,6,3,4,2,280.0,Cluster 3
2504,28,12,17,11,119.55074,Cluster 3
2505,3,1,2,1,465.44778,Cluster 3
2507,2,1,1,1,36.000137,Cluster 3
2508,94,22,49,45,49.48387,Cluster 3
2509,7,2,4,3,0.03636111,Cluster 3
